model,dataset,r_11,r_22,r_33,r_12,r_13,r_23
Zero,ISO,nan,nan,nan,nan,nan,nan
Zero,CHAN,nan,nan,nan,nan,nan,nan
Leonard,ISO,0.2413836751024892,0.17580441859987633,0.18363164129834855,0.16633038646197837,0.13759775195628923,0.1915412093487902
Leonard,CHAN,0.16525612437523413,0.21306252411807772,0.18940801886147277,0.03912312123374777,0.06861780798804032,0.28758680456201524
WALE_like,ISO,-0.06680065359843822,0.23166565831208652,0.06259725685113693,0.3887472762375703,0.23903761580143185,0.7224104934363704
WALE_like,CHAN,-0.057784301562029544,0.4953448684986678,0.2456071888255908,0.28899959691649624,0.25861836700083884,0.3599062855487284
Smagorinsky_like,ISO,-0.18171725990410595,0.3317859253221394,-0.2624636903739413,0.10209870238376507,-0.2613225483459311,-0.04217185991760636
Smagorinsky_like,CHAN,-0.36677664828692824,0.201459557702097,-0.033847362042106054,-0.044561653176857056,-0.05815632278113683,0.07926186660665252
WALE_canonical,ISO,0.21086214800673062,-0.36847155232696116,0.2252977671384951,-0.1997301563510252,0.14841619230656175,-0.07071131927577347
WALE_canonical,CHAN,0.023286635034905724,-0.29016269890497737,0.11165447618676638,-0.4038562447926494,0.16639900697251211,-0.16799794349490282
Mixed_L_WALE_like,ISO,0.1550097909772953,0.2319160647367553,0.18971657605485004,0.28645035354199744,0.23807869348565314,0.4703148590881995
Mixed_L_WALE_like,CHAN,0.16160944436627547,0.47938477744187047,0.2503045299102714,0.13679803054251513,0.10440221424120362,0.4232057011936931
Jaumann_hybrid,ISO,0.2938028822091794,0.10534098648711139,0.23958699012128915,0.13261360560370075,0.1731573873890989,0.17290993615442846
Jaumann_hybrid,CHAN,0.16638358526435926,0.08884752290868078,0.20700520266184422,0.01332753132356512,0.07572421634147207,0.1509742249067093
Champion,ISO,0.006800641470263862,0.2834623458699759,0.1269956117579661,0.40953854190627775,0.2761611291165951,0.6984055627512683
Champion,CHAN,0.14696068804770837,0.516827175657087,0.2800068038805086,0.2676512142248087,0.1884187530434476,0.38673105499694493
Wstretch_hybrid,ISO,0.32909829683342406,-0.03175190547311717,0.23928326914734876,-0.19330525554954414,-0.06135210321604084,-0.4545273266048112
Wstretch_hybrid,CHAN,0.1828555360402374,-0.2159602334729189,0.3739444216832806,-0.21755311921300244,-0.12656412254157345,-0.2645430926821673
