test,model,r_tau_iso,r_tau_chan,r_tau12_chan,r_pi_chan,r_wall_tau12
Shifted spatial,Laplacian-strain hybrid,0.451,0.304,0.233,0.525,0.091
Shifted spatial,Jaumann hybrid,0.079,0.105,0.089,0.013,-0.995
Shifted spatial,Vortex-stretching hybrid,-0.155,0.006,-0.042,-0.419,-0.531
Later time (t=51),Laplacian-strain hybrid,0.293,0.294,0.276,0.604,-0.386
Later time (t=51),Jaumann hybrid,0.191,0.119,0.073,0.129,-0.973
Later time (t=51),Vortex-stretching hybrid,0.035,-0.002,-0.105,-0.466,-0.728
Filter Delta=1.5,Laplacian-strain hybrid,0.255,0.273,0.252,0.542,-0.141
Filter Delta=1.5,Jaumann hybrid,0.167,0.078,-0.009,-0.026,-0.926
Filter Delta=1.5,Vortex-stretching hybrid,-0.039,-0.070,-0.238,-0.519,-0.396
Filter Delta=2.0,Laplacian-strain hybrid,0.220,0.245,0.229,0.499,0.089
Filter Delta=2.0,Jaumann hybrid,0.155,0.080,-0.009,-0.051,-0.911
Filter Delta=2.0,Vortex-stretching hybrid,-0.004,-0.053,-0.220,-0.490,-0.421
