model,known_match,expr,best_search_loss,refit_loss,constants,sources,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,tau12_r_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan,balanced_score,channel_score
search_07,,c1*L + (Delta**4*c4)*Lap_S*S + (Delta**4*c4)*S*Lap_S + (Delta**2*c3/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c3/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8571936510988918,4.182717736127373,"{'c1': 0.040446322391776125, 'c2': 1.2502831291262055, 'c3': -0.0039544707970596595, 'c4': 2.8118408288310374e-06}",L_WALE:seed29:rank1,1.013144288923231,1.033451173122878,0.07881240403412645,0.15689862720515205,0.2207821762002626,0.43761621106738746,0.39726061732368617,0.9519472451182127,0.25861445291219715,0.41650988950614615
search_05,,c1*L + (Delta**2*c3)*S_j + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c5/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8495551682072362,1.9036857863886905,"{'c1': 0.06355220464717108, 'c2': -1.3184184102354044, 'c3': -0.0006391447770731111, 'c4': 0.3482181276124032, 'c5': 0.8407817347683665}",L_WALE_Jaumann:seed29:rank1,1.029271832833393,1.1757459444999383,0.08692179126317741,0.03325422343102268,-0.007926531973887018,-0.2436089501351481,-0.053611668545138325,-0.5472963895799302,0.03605280440826003,0.011638978200857937
search_02,,c1*L + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8286468486291398,1.9144035871078453,"{'c1': 0.06933870447221048, 'c2': -1.253041028502359, 'c3': 0.5974830577696892, 'c4': 0.34545090565023817}",L_WALE_Wstretch:seed11:rank1 | Leonard:seed29:rank9 | L_WALE_Wstretch:seed29:rank7,1.0322802088512766,1.2020878969783888,0.08410579589509265,0.024122971928444082,0.0020682955563194744,-0.25627210245199716,-0.053198900077213805,-0.46663708030279255,0.03277887468050894,0.008856699286219322
search_08,,c1*L + (Delta**2*c5)*S_j + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.858924930269454,1.8783038644845511,"{'c1': 0.0708440484742256, 'c2': -1.250396726724582, 'c3': 0.43821075288611233, 'c4': 0.33381443000947414, 'c5': -0.0006512068870233561}",L_WALE_Wstretch:seed29:rank1,1.0353539126476816,1.1815730218592602,0.08166927426576616,0.018725410608225055,0.002068176893010194,-0.27290625015853515,-0.06658488767862679,-0.5361490158609621,0.03042863199614889,0.006967529091480807
search_09,,c1*L + (Delta**2*c4)*S_j + (Delta**2*c3/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c3/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8613589718006711,1.8772306860557364,"{'c1': 0.07154826266716066, 'c2': -1.1951315132799516, 'c3': 0.32268103583118846, 'c4': -0.0006271208433208088}",L_WALE:seed29:rank2,1.0526555872120154,1.1874740786818678,0.05408088656558874,-0.0032771240604280876,0.007812372605708018,-0.3178127884458905,-0.0927074838661288,-0.5106553727839958,0.0164129846424044,0.0004154810999917732
search_01,,c1*L + (Delta**2*c3)*S_j + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8210862505308674,1.8756516180979859,"{'c1': 0.06527619174956403, 'c2': -1.2465528489366047, 'c3': -0.0006527234586892693, 'c4': 0.33873332551140173}",L_WALE_Jaumann:seed11:rank1 | L_WALE:seed29:rank9 | L_WALE_Jaumann:seed29:rank7,1.0566047695089034,1.1928087682860895,0.0411198198308182,-0.008444539502304229,0.00410950526901808,-0.3373576853654583,-0.10762968713767629,-0.4992200332738299,0.010419009888906903,-0.002133687772002864
search_10,,c1*L + (Delta**2*c3)*S_d + (Delta**2*c5)*S_j + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8626236206914388,1.898135581672045,"{'c1': 0.0689792521349078, 'c2': -1.187342565001633, 'c3': -0.057938182493850326, 'c4': 0.32933601827244463, 'c5': -0.0006021954578268623}",L_WALE_Sd:seed11:rank2 | L_WALE_Sd:seed29:rank6,1.0617467658075435,1.192566917813583,0.027950867776013372,-0.02280433093947909,-0.022050509215126666,-0.4312864854902925,-0.2185631870326566,-0.35971153128719274,0.0015439610509602854,-0.007981515828817681
search_06,,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c5/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8526841935783582,1.87834891388435,"{'c1': 0.07052068678937219, 'c2': -1.2367130816677985, 'c3': -0.3482773720734729, 'c4': 0.28276876206855134, 'c5': 0.7070185254495495}",L_WALE_Sd:seed29:rank1,1.0748172224274777,1.1863668267963507,-0.001516070457447773,-0.06630656868350088,-0.16435505355334798,-0.6926153975906196,-0.4919137598498824,-0.31050193119382896,-0.020346791742284594,-0.023207299039225304
search_04,,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4)*S_j + (Delta**2*c5/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c5/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8452279043393773,1.8496855637808745,"{'c1': 0.06814999261540451, 'c2': -1.1537557541556254, 'c3': -0.2541206486035609, 'c4': -0.0006418837561816064, 'c5': 0.28778398636589697}",Leonard:seed29:rank1 | L_WALE_Sd:seed29:rank3,1.087955937869633,1.1786696928133447,-0.036071803886660765,-0.08164038772610999,-0.12364246883099755,-0.6839838852221242,-0.4702535823923401,-0.2352120795175977,-0.03531365748383122,-0.028574135704138495
search_03,L_WALE_Sd_omegaW,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,1.8353134161844302,1.8992972079815018,"{'c1': 0.06722426421214649, 'c2': -1.082287763652344, 'c3': -0.25565695708315506, 'c4': 0.2857143101385696}",Leonard:seed11:rank1 | L_WALE_Sd:seed11:rank1 | Leonard:seed29:rank2 | L_WALE:seed29:rank5 | L_WALE_Sd:seed29:rank7,1.0868297063946213,1.192875692021074,-0.039705191202219305,-0.08294307010835246,-0.12120828344409691,-0.6955780708932414,-0.4681136444342618,-0.028765223043532163,-0.03679447839317153,-0.029030074537923358
