root,seed,best_search_loss,best_expr,best_expr_key,tree_size,evaluated_count,known_match
Leonard,11,1.8353134161844302,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,34,34,L_WALE_Sd_omegaW
L_WALE,11,1.8718015145569797,c1*L + (Delta**2*c4)*omega*omega.T + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c4)*omega*omega.T + (Delta**2*c3/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c3/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,27,27,
L_WALE_Jaumann,11,1.8210862505308674,c1*L + (Delta**2*c3)*S_j + (Delta**2*c4/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c3)*S_j + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,22,22,
L_WALE_Sd,11,1.8385890886361516,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,22,22,L_WALE_Sd_omegaW
L_WALE_Wstretch,11,1.8286468486291398,c1*L + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c4/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,22,22,
Leonard,29,1.8452279043393773,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4)*S_j + (Delta**2*c5/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4)*S_j + (Delta**2*c5/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c5/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,33,33,
L_WALE,29,1.8571936510988918,c1*L + (Delta**4*c4)*(Lap_S*S + S*Lap_S) + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**4*c4)*Lap_S*S + (Delta**4*c4)*S*Lap_S + (Delta**2*c3/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c3/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,27,27,
L_WALE_Jaumann,29,1.8495551682072362,c1*L + (Delta**2*c3)*S_j + (Delta**2*c4/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c5/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c3)*S_j + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c5/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,22,22,
L_WALE_Sd,29,1.8526841935783582,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c5/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c5/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,22,22,
L_WALE_Wstretch,29,1.858924930269454,c1*L + (Delta**2*c5)*S_j + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c4/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,c1*L + (Delta**2*c5)*S_j + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c4/sqrt(Trace(S**2)))*W*omega.T + (Delta**2*c4/sqrt(Trace(S**2)))*omega*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,22,22,
