model,expr,constants,loss,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,tau12_r_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan,balanced_score,channel_score
Champion,c1*L + (Delta**2*c2)*S_d + (Delta**4*c3)*(Lap_S*S + S*Lap_S),"{'c1': 0.040034375652428573, 'c2': 0.46605309595850425, 'c3': 2.8291326101191878e-06}",2.6282723163212403,0.9718670990688678,1.0462538454002408,0.3001245819164142,0.2979991261970329,0.2687463706862927,0.9691454991055586,0.6063948862418385,-0.5874765522718876,0.3107083009732538,0.27932794555458773
Leonard,c1*L,{'c1': 0.08506176506590173},2.5029794695623653,1.0136420515839613,1.0951325546945678,0.18271484712796196,0.16050906685643132,0.03912312123374777,0.4371065794267299,0.1287110207032708,0.15958553726020763,0.1441008492118915,0.1296413861022066
L_plus_WALEcanon_W,c1*L + (Delta**2*c3/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,"{'c1': 0.07824965445278517, 'c2': -0.38286493691174645, 'c3': 0.4829494490627187}",2.2074795987629376,0.9966429237010096,1.0693197870637112,0.20876219766362805,0.17789453409959802,0.0021368676149458228,0.1407407733890358,0.06011148925444056,-0.9378469891498327,0.12533427305937578,0.07471275830873658
L_plus_WALEcanon_Sj,c1*L + (Delta**2*c3)*S_j + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,"{'c1': 0.07674935335706744, 'c2': -0.31911437595623415, 'c3': -0.0006307699341964474}",2.1980047870471844,1.0204851265353472,1.0666420782796957,0.18585101420526864,0.11321611808085591,0.011151299838815831,0.10231096276706653,0.025338244509542324,-0.9302425611474089,0.09519357133809109,0.046923550197971196
L_plus_WALE_canonical,c1*L + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,"{'c1': 0.07826295029826527, 'c2': -0.3184251330016479}",2.2154672018713204,1.020594900121618,1.0855460978921156,0.1841579907303584,0.10791463665417748,0.011052691737990394,0.1065568694525198,0.02663785177898159,-0.9310881789242247,0.09327536974290657,0.04530823153235652
L_plus_WALEcanon_omega,c1*L + (Delta**2*c3)*omega*omega.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,"{'c1': 0.07825517772031146, 'c2': -0.31845088619555384, 'c3': 3.3967481311873355e-05}",2.215366186301556,1.0205927501249452,1.0854863044254552,0.18415574089401368,0.10768214364854262,0.011042964327936108,0.10650058541185384,0.026642174970555457,-0.9310692466063303,0.09320413625754062,0.045225778136688224
Mixed_L_WALE_like,c1*L + (Delta**2*c2)*S_d,"{'c1': 0.08351404708002094, 'c2': -0.18969271540706636}",2.493990490826224,1.0413515533624869,1.1065635663472577,0.07293273936959573,-0.010614861141221515,-0.04729494632983619,-0.6010121825149682,-0.3263604877728635,0.6343726110883456,0.08213262457734682,0.1548779513726589
L_plus_WALEcanon_omegaW,c1*L + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,"{'c1': 0.06729157830852078, 'c2': -1.1679616361385434, 'c3': 0.33013832319360237}",1.964097011803252,1.0539165894165443,1.2046925732245612,0.04576588229057083,-0.006362250464923391,0.009729043225993682,-0.32504767158350034,-0.09212589457659,-0.4020695873765711,0.013280446031593285,-0.0002809790175244502
Smagorinsky_like,(sqrt(2)*Delta**2*c1*sqrt(Trace(S**2)))*S,{'c1': 0.0011028553883834637},2.5893473286011948,1.0395949604711163,1.119907183631729,-0.05229845513928006,-0.037103426996379786,-0.04456165317685706,0.2046181693733231,0.07329432215686849,-0.5765391882705341,-0.015826416317167677,0.0016726649826407734
L_plus_WALEcanon_WALElike_W,c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S,"{'c1': 0.07521910096356636, 'c2': -0.4661189715751705, 'c3': -0.5620816905261613, 'c4': 0.6697477003814266}",2.132530623267037,1.083256836370114,1.1320423812371834,-0.02982102370147378,-0.042623777915707074,-0.20787766293046891,-0.8794338837422345,-0.5395080354346269,-0.19372096599059418,-0.021733440485154257,-0.014918322270497475
