rank,loss,constants,expr
1,1.8626478846750356,"{'c1': 0.06577733049973285, 'c2': -1.2076910606689935, 'c3': -0.22157650338401091, 'c4': 0.31037717374566587}",c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
2,1.868439973585737,"{'c1': 0.06297638730581721, 'c2': -1.2352238624747243, 'c3': 0.3089537711147317, 'c4': -0.24453710787829927}",c1*L + (Delta**2*c4)*S_d + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
3,1.8900194533173178,"{'c1': 0.07055908406324195, 'c2': -1.218490809022493, 'c3': 0.3152517324046528, 'c4': -0.0006377161994324113}",c1*L + (Delta**2*c4)*S_j + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
4,1.905594221263722,"{'c1': 0.06758401974721472, 'c2': -1.2658503908325673, 'c3': 0.34030119712444423, 'c4': 0.3098347229631698}",c1*L + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c4/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
5,1.9130739988874736,"{'c1': 0.06954797220997457, 'c2': -1.1930694705548486, 'c3': 0.31797310154913255, 'c4': 2.6241693294589286e-06}",c1*L + (Delta**4*c4)*(Lap_S*S + S*Lap_S) + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
6,1.9263893681038171,"{'c1': 0.07244084084914132, 'c2': -1.2204699402715622, 'c3': 0.3282620827090132, 'c4': 2.566335404268348e-06}",c1*L + (Delta**2*c4)*omega*omega.T + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
7,1.9771480650191389,"{'c1': 0.07272479231446896, 'c2': -1.1641185888377412, 'c3': 0.33322523154235595}",c1*L + (Delta**2*c3/sqrt(Trace(S**2)))*(W*omega.T + omega*W.T) + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
8,2.0840171688716707,"{'c1': 0.08024750778480899, 'c2': -0.41068378504360026, 'c3': -0.4138124874020771}",c1*L + (Delta**2*c3)*S_d + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
9,2.08696790335956,"{'c1': 0.07194236639801634, 'c2': -0.46728662660418563, 'c3': -0.43810992605734195, 'c4': -0.000633374127655805}",c1*L + (Delta**2*c3)*S_d + (Delta**2*c4)*S_j + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
10,2.1148265832761424,"{'c1': 0.07577451868262057, 'c2': -0.43860062293587065, 'c3': -0.3464194616256079, 'c4': 0.6192876761089797}",c1*L + (Delta**2*c3)*S_d + (Delta**2*c4/Trace(S**2))*W*W.T + (Delta**2*c2*Trace(S_d**2)**(3/2)/(Trace(S**2)**(5/2) + Trace(S_d**2)**(5/4)))*S
