model,train_sigma,test_sigma,train_loss,constants,nmse_iso_transfer,nmse_chan_transfer,mean_r_iso_transfer,mean_r_chan_transfer,tau12_r_chan_transfer,pi_r_iso_transfer,pi_r_chan_transfer,wall_tau12_corr_chan_transfer
Leonard,1.0,1.5,2.4070919253954486,{'c1': 0.07940552892419882},1.0478528755688234,1.0859345300566545,0.1599174372550945,0.12668569744645874,0.027656186214312983,0.4384551746419746,0.07364590214103642,0.3243601473802842
WALE_like,1.0,1.5,2.568506769316049,{'c1': 0.023562868422722837},1.0662431347784553,1.097700107158001,0.22058685027131034,0.2425265879624305,0.2596607678436338,0.9664255239334142,0.531878540140372,-0.15251739216048849
Smagorinsky_like,1.0,1.5,2.5225692636013455,{'c1': 0.0010678642981578623},1.0692599701658718,1.350283413901014,-0.07341982656765307,-0.051264743035992606,-0.11089203346400384,0.1734025602115112,0.0657619260235698,-0.6629692534478415
WALE_canonical,1.0,1.5,2.7074792204782203,{'c1': -0.35602398058273427},1.075882215433881,1.1003897923586698,0.005352854760036538,-0.08579448187523024,-0.41884024546309895,-0.37717873810477864,-0.3451424411322372,-0.9519480905181131
Jaumann_hybrid,1.0,1.5,2.150322032303366,"{'c1': 0.07326542417448238, 'c2': -0.33299620603305896, 'c3': -0.0006037768164807453}",1.0541239912503455,1.0916490631327005,0.16692888098670822,0.07794714014418071,-0.008913411914085125,0.03173340708012179,-0.026275711441715466,-0.9261017291972492
Champion,1.0,1.5,2.4953443842331757,"{'c1': 0.03904082562632298, 'c2': 0.45797215033634386, 'c3': 2.755942682776274e-06}",1.010429987596221,1.2343805887953954,0.2549459571120562,0.2728702647733928,0.25220403284041987,0.9603199513886775,0.541821238586986,-0.14140249031317173
Wstretch_hybrid,1.0,1.5,2.0921169262750747,"{'c1': 0.06660443173745113, 'c2': -0.49619548391988527, 'c3': -0.6004659531474239, 'c4': 0.5020763106800789}",1.1187097958076884,1.1671677662191617,-0.03883311912528147,-0.07011557022920487,-0.23803185468690125,-0.897395094753056,-0.519383660812423,-0.3963792388444357
Leonard,1.0,2.0,2.4070919253954486,{'c1': 0.07940552892419882},1.0792438359946999,1.0827545194506776,0.1427865247797863,0.11256883181907645,0.0286137765788999,0.3931655417515659,0.020098463666276763,0.37961798715498557
WALE_like,1.0,2.0,2.568506769316049,{'c1': 0.023562868422722837},1.0951462966224854,1.108920164487347,0.1855259972088661,0.21731282242007022,0.22744650153353468,0.9501839612632834,0.4953397122728498,0.07843954716624257
Smagorinsky_like,1.0,2.0,2.5225692636013455,{'c1': 0.0010678642981578623},1.0976417878366727,1.287802172865466,-0.09355030688953718,-0.06538637386074671,-0.18407622024142511,0.11604476907629717,0.047743234875728124,-0.7320790837856408
WALE_canonical,1.0,2.0,2.7074792204782203,{'c1': -0.35602398058273427},1.1027343387279132,1.110907698912347,0.018175235376426773,-0.07328730300907538,-0.40567651598094195,-0.3418017505799891,-0.2684168115254851,-0.9468126539733122
Jaumann_hybrid,1.0,2.0,2.150322032303366,"{'c1': 0.07326542417448238, 'c2': -0.33299620603305896, 'c3': -0.0006037768164807453}",1.0839689593635984,1.0746354434814673,0.1550616715717318,0.079564847967892,-0.009348785184862537,0.05676888192905122,-0.05131346703105026,-0.9114541342127961
Champion,1.0,2.0,2.4953443842331757,"{'c1': 0.03904082562632298, 'c2': 0.45797215033634386, 'c3': 2.755942682776274e-06}",1.0498436720949946,1.680780420071202,0.21977586048854217,0.24494879711083564,0.22883480189924277,0.9428901630661493,0.49941672736946335,0.08908141716961834
Wstretch_hybrid,1.0,2.0,2.0921169262750747,"{'c1': 0.06660443173745113, 'c2': -0.49619548391988527, 'c3': -0.6004659531474239, 'c4': 0.5020763106800789}",1.1222754550974152,1.1746415291116252,-0.004413510158225063,-0.0533225626943822,-0.22044688016688466,-0.8760794813447996,-0.4903045971806668,-0.4211754346918187
