model,family,constants,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,tau12_r_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan
Champion,discovered_or_fitted,"{'c1': 0.04138136091947321, 'c2': 0.4339264613168454, 'c3': 2.83042117333632e-06}",0.9742799573522247,1.0438902798610632,0.3004958081202493,0.2966588406400501,0.26263877330089513,0.9672347335302872,0.6069346866348488,-0.586456862502301
AMD_canonical,modern_canonical,{'Ca': 0.3},0.9909151551938442,1.0472842297157916,0.3513791390686949,0.2501614348503223,0.19838969137648244,0.5910123080762546,0.535464370093841,-0.9435143450882686
AMD_tuned,modern_tuned,"{'scale': 4.251204e-01, 'Ca_eff': 1.275361e-01}",1.0173740658280166,1.0577379818503743,0.3513791390686949,0.2501614348503223,0.19838969137648235,0.5910123080762554,0.5354643700938431,-0.9435143450882684
Jaumann_hybrid,discovered_or_fitted,"{'c1': 0.07828995507646425, 'c2': -0.3117780821852244, 'c3': -0.0006284096040482448}",1.0200834698082228,1.0690844930223182,0.18609773550228623,0.11537641075940479,0.012344762065598463,0.11562102366467815,0.02967763070494092,-0.9291957958295358
Smagorinsky_tuned,modern_tuned,"{'scale': 5.720575e-07, 'Cs_eff': 1.285786e-04}",1.039626871296405,1.067196729436857,0.052298457050786486,0.037103426734091595,0.04456165309732845,-0.20461816420190873,-0.07329432264948314,0.5765391888256514
Vreman_tuned,modern_tuned,"{'scale': 7.419641e-01, 'Cv_eff': 5.360691e-02}",1.0385341671553328,1.0684379886329498,0.08025852506143213,-0.05213506358640332,-0.3843994419734499,0.014387729994537295,-0.30630026777732416,-0.6360241470719964
Vreman_canonical,modern_canonical,{'Cv': 7.225000e-02},1.0382412453673768,1.069019759178716,0.0802585250614321,-0.05213506358640332,-0.38439944197344994,0.014387729994536979,-0.306300267777323,-0.6360241470719966
WALE_canonical_physical,modern_canonical,{'Cw': 0.325},1.043547085403283,1.0685208793276872,-0.009056152581354934,-0.0934461280182129,-0.4038562448440159,-0.38367634624662844,-0.3893901097476055,-0.9504536138273527
Dynamic_Smagorinsky,modern_dynamic,"{'C_iso': 4.559732e-02, 'C_chan_mean': 2.590363e-03}",1.0447543839387499,1.0674315123561957,0.052298457050786507,-0.005387973731112587,-0.03104294556891697,-0.20461816420190831,0.0023395294396974936,-0.05502123712691414
WALE_tuned,modern_tuned,"{'scale': 1.650495e+00, 'Cw_eff': 4.175327e-01}",1.0464286674800058,1.0695146261814346,-0.009056152581354964,-0.09344612801821293,-0.4038562448440159,-0.38367634624663277,-0.38939010974760385,-0.9504536138273526
Leonard_fitted,discovered_or_fitted,{'c1': 0.09119080876978386},1.0129386867757346,1.1070085510450403,0.18271484712796204,0.16050906685643132,0.039123121233747775,0.43710657942673203,0.12871102070327076,0.1595855372602082
Wstretch_hybrid,discovered_or_fitted,"{'c1': 0.07625192385622451, 'c2': -0.46480880779157824, 'c3': -0.5830980975256683, 'c4': 0.6349775321865875}",1.0885081007185728,1.1390958904250812,-0.03727385111426574,-0.048576647580440925,-0.2094869457093118,-0.8879771350683726,-0.541818379169004,-0.15764044823434684
Bardina_Leonard,modern_canonical,{},2.647707200022566,17.54149522775583,0.18271484712796196,0.16050906685643132,0.039123121233747775,0.43710657942672954,0.12871102070327015,0.15958553726020785
Smagorinsky_canonical,modern_canonical,{'Cs': 0.17},1.0423059762212525,146.47729301778182,0.052298457050786507,0.03710342673409157,0.044561653097328444,-0.2046181642019076,-0.07329432264948316,0.5765391888256512
